id	text
img_0001	Law enforcement: Trying to find out who ate the last cookie.
img_0002	"Forbes' 'Best Airbnbs in Hawaii' list made my bank account say, ""Mahalo, next!"""
img_0003	"Her shirt says ""Old Navy,"" but with the ""Be Outspoken"" logo, she's definitely not part of the silent service."
img_0004	One candle on that magnificent cake? They're either turning one, or they're just in deep, frosted denial.
img_0005	When you try to dance gracefully, but your body insists on being a human pretzel.
img_0006	"Chuck E. Cheese: ""CELEBRATE!!!""
Birthday Kid: ""Hard pass."""
img_0007	Being a Traitor is exhausting. My mask doesn't even let me facepalm properly.
img_0008	"Estonian tradition says: ""The birthday cake is placed on the table."" He clearly thought they said, ""on the *palm* of the hand."""
img_0009	I made a wish for self-control... then I immediately blew it out.
img_0010	Game Night! Where the only thing getting sacked is the snack bowl.
img_0011	When your friends drag you into the photo booth but forget to tell you to smile.
img_0012	My face when I realize I hit 'reply all'.
img_0013	After waiting since 1998 for this Final Four, the coach in the background is just glad she's not the one getting the celebratory rinse.
img_0014	"Ulrik looks deep in thought, probably pondering life's mysteries. Nope, just whether to ""Create New Game"" or ""Find Game"" on EasyPoker+."
img_0015	They just found out the supply closet is actually the VIP room.
img_0016	"When she said ""I do,"" she didn't realize it included a full-face cake application."
img_0017	When you order pizza so fast it arrives before the background loads.
img_0018	He's just trying to remember where he parked the car.
img_0019	My mood when my alarm goes off.
img_0020	When you try to explain the plot of Halo with interpretive dance.
img_0021	"Leo's terms and conditions: ""Must be under 25 by the time the credits roll."""
img_0022	"I think they misunderstood ""fore-some."""
img_0023	They look like they're attending the balloons' funeral, not their release.
img_0024	That moment when she finds her favorite lipstick and he finds his forgotten coupon.
img_0025	Her welcome mat was more of a wake-up splash.
img_0026	He's got the zoomies in neutral.
img_0027	Wishing you... weren't such a tease.
img_0028	Only Homer could make a party horn puke.
img_0029	"When the software asks ""Discard changes?"" after two hours of work."
img_0030	"Stevie Wonder is singing ""Happy Birthday To Ya!"" He just hopes you *saw* who brought the cake."
img_0031	"Timmy wished for his ""Fairly OddParents"" to be *even odder*."
img_0032	Me, after someone agrees pineapple belongs on pizza.
img_0033	When you try to explain TikTok to The Golden Girls.
img_0034	Yeah, no more goofy family theme costumes. This year we're all going as different types of knee pads.
img_0035	"""The Party Planning Committee is all over it!""
*Me, internally:* ""Time to start faking a cough for tomorrow."""
img_0036	Geordi, trying to comprehend the Federation's updated subspace travel Terms & Conditions.
img_0037	My face when I hear footsteps during my midnight snack mission.
img_0038	This wiener dog is having an *out-of-this-world* dream.
img_0039	He's a good boy, but he's a bit too light-headed.
img_0040	Terry Crews practicing his celebratory dance for when the toilet flushes on the first try.
img_0041	Their synchronized routine was a well-oiled machine; they all had gears on their shirts!
img_0042	"He's trying to emphasize ""one team, one dream,"" but they're only thinking about the one snack bar."
img_0043	He's not walking, he's just buffering between his steps.
img_0044	My emotional support throne, complete with emotional support Doritos.
img_0045	This *fun-guy* knows what makes a *tree-mendous* gift!
img_0046	If you're having a party... this pumpkin is ready to get smashed.
img_0047	Mon MAGAZINE's latest craft: A lampshade so appealing, you'll want to serve punch from it.
img_0048	"Her: ""Last minute is when I do my best work.""
Friend's face: ""Define 'best.'"""
img_0049	My umbrella is so hands-free, it comes with a built-in Jim Carrey.
img_0050	"That ""I'M A GOBLIN!"" shirt just came with a mandatory tiny hands upgrade."
img_0051	That plane is just the first one out of here.
img_0052	My face trying to decide if I'm happy about graduating or terrified about my future.
img_0053	This is the only font where 'CHAOS' makes perfect sense.
img_0054	Me trying to claim the last slice of pizza at a family gathering.
img_0055	When you're on the lam, but your new single just hit the top of the charts.
img_0056	"When my kid successfully pretends not to be home when the doorbell rings: ""I raised you well."""
img_0057	"""Sophia: I swear to God, if I have to reset this Wi-Fi one more time..."""
img_0058	They said moving was stressful. We decided to make it a musical.
img_0059	Looking pious, but secretly thinking about the post-service buffet.
img_0060	Plot twist: there is no plot.
